Sample	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PH0933-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234510	ESEA	True	0.9990495	Sensitive	Ratanakiri_Cambodia
PH0936-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234512	ESEA	True	0.9990889	Sensitive	Ratanakiri_Cambodia
PH0937-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234513	ESEA	True	0.99421036	Sensitive	Ratanakiri_Cambodia
PH0939-C	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR234515	ESEA	True	0.9983859	Sensitive	Ratanakiri_Cambodia
PH0942-Cx	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2012	ERR404182	ESEA	True	0.99979764	Sensitive	Ratanakiri_Cambodia
PH0976-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337591	ESEA	True	0.9774729	Sensitive	PreahVihear_Cambodia
PH0980-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337593	ESEA	True	0.99860024	Sensitive	PreahVihear_Cambodia
PH0981-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337594	ESEA	True	0.9978014	Sensitive	PreahVihear_Cambodia
PH0982-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337547	ESEA	True	0.99877006	Sensitive	PreahVihear_Cambodia
PH0983-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337548	ESEA	True	0.9992792	Sensitive	PreahVihear_Cambodia
PH0984-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337549	ESEA	True	0.99801415	Sensitive	PreahVihear_Cambodia
PH0985-C	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2012	ERR337550	ESEA	True	0.9965121	Sensitive	PreahVihear_Cambodia
PH0986-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246561	ESEA	True	0.9991568	Resistant	Pailin_Cambodia
PH0987-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246565	ESEA	True	0.9981415	Resistant	Pailin_Cambodia
PH0991-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246568	ESEA	True	0.99944013	Resistant	Pailin_Cambodia
PH0994-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246569	ESEA	True	0.99873924	Resistant	Pailin_Cambodia
PH0996-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246570	ESEA	True	0.99860936	Resistant	Pailin_Cambodia
PH0997-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246571	ESEA	True	0.9990837	Resistant	Pailin_Cambodia
PH0999-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246572	ESEA	True	0.9964958	Resistant	Pailin_Cambodia
PH1000-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR337568	ESEA	True	0.999471	Sensitive	Pailin_Cambodia
PH1001-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR337559	ESEA	True	0.9994324	Resistant	Pailin_Cambodia
PH1002-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR246562	ESEA	True	0.99916106	Resistant	Pailin_Cambodia
PH1003-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2012	ERR337563	ESEA	True	0.9954165	Resistant	Pailin_Cambodia
PH1136-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR426026	ESEA	True	0.99396425	Resistant	Pailin_Cambodia
PH1137-C	1052-PF-TRAC-WHITE	Pailin	Cambodia	2011	ERR404253	ESEA	True	0.9648389	Sensitive	Pailin_Cambodia
PV0243-Cx2	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388796	ESEA	True	0.9944319	Resistant	BinhPhuoc_VietNam
PV0245-Cx2	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388795	ESEA	True	0.998889	Sensitive	BinhPhuoc_VietNam
PV0246-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175499	ESEA	True	0.9970594	Resistant	BinhPhuoc_VietNam
PV0247-Cx2	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388794	ESEA	True	0.99688345	Sensitive	BinhPhuoc_VietNam
PV0249-Cx	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR388792	ESEA	True	0.9999109	Sensitive	BinhPhuoc_VietNam
PV0251-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175509	ESEA	True	0.99960154	Resistant	BinhPhuoc_VietNam
PV0254-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180092	ESEA	True	0.9976861	Sensitive	BinhPhuoc_VietNam
PV0258-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175500	ESEA	True	0.9534257	Sensitive	BinhPhuoc_VietNam
PV0259-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180082	ESEA	True	0.9989285	Resistant	BinhPhuoc_VietNam
PV0261-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171581	ESEA	True	0.99844974	Sensitive	BinhPhuoc_VietNam
PV0262-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180095	ESEA	True	0.9994158	Resistant	BinhPhuoc_VietNam
PV0265-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171582	ESEA	True	0.99993545	Sensitive	BinhPhuoc_VietNam
PV0266-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180061	ESEA	True	0.97756237	Resistant	BinhPhuoc_VietNam
PV0267-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180087	ESEA	True	0.994789	Resistant	BinhPhuoc_VietNam
PV0269-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180074	ESEA	True	0.9998328	Resistant	BinhPhuoc_VietNam
PV0270-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180075	ESEA	True	0.99849355	Sensitive	BinhPhuoc_VietNam
PV0271-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180072	ESEA	True	0.9511906	Sensitive	BinhPhuoc_VietNam
PV0272-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180062	ESEA	True	0.9996133	Sensitive	BinhPhuoc_VietNam
PV0274-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180071	ESEA	True	0.9984236	Sensitive	BinhPhuoc_VietNam
PV0277-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171579	ESEA	True	0.99958515	Resistant	BinhPhuoc_VietNam
PV0278-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171571	ESEA	True	0.9938718	Resistant	BinhPhuoc_VietNam
PV0279-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180065	ESEA	True	0.99814606	Sensitive	BinhPhuoc_VietNam
PV0280-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180089	ESEA	True	0.99980843	Sensitive	BinhPhuoc_VietNam
PV0282-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180063	ESEA	True	0.9992414	Sensitive	BinhPhuoc_VietNam
PV0283-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175505	ESEA	True	0.9993297	Resistant	BinhPhuoc_VietNam
PV0284-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175493	ESEA	True	0.9994096	Sensitive	BinhPhuoc_VietNam
PV0285-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171572	ESEA	True	0.99939585	Resistant	BinhPhuoc_VietNam
PV0286-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175503	ESEA	True	0.9957824	Resistant	BinhPhuoc_VietNam
PV0287-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171573	ESEA	True	0.9967825	Sensitive	BinhPhuoc_VietNam
PV0288-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171570	ESEA	True	0.9981075	Resistant	BinhPhuoc_VietNam
PV0289-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180085	ESEA	True	0.9993497	Sensitive	BinhPhuoc_VietNam
PV0292-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180084	ESEA	True	0.99905616	Resistant	BinhPhuoc_VietNam
PV0296-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180052	ESEA	True	0.99990594	Sensitive	BinhPhuoc_VietNam
PV0297-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180060	ESEA	True	0.99835306	Sensitive	BinhPhuoc_VietNam
PV0298-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR171568	ESEA	True	0.99895734	Sensitive	BinhPhuoc_VietNam
PV0299-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR180069	ESEA	True	0.99922913	Resistant	BinhPhuoc_VietNam
PV0300-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR175491	ESEA	True	0.9949963	Resistant	BinhPhuoc_VietNam
PV0301-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR164737	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0302-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216643	ESEA	True	0.9994945	Sensitive	BinhPhuoc_VietNam
PV0304-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216543	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0305-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216524	ESEA	True	0.99902487	Sensitive	BinhPhuoc_VietNam
PV0306-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216525	ESEA	True	0.99958634	Resistant	BinhPhuoc_VietNam
PV0308-Cx	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR404179	ESEA	True	0.9991952	Sensitive	BinhPhuoc_VietNam
PV0309-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR216526	ESEA	True	0.99642366	Sensitive	BinhPhuoc_VietNam
PV0310-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR221512	ESEA	True	0.99685735	Sensitive	BinhPhuoc_VietNam
PV0311-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216544	ESEA	True	0.9995023	Sensitive	BinhPhuoc_VietNam
PV0312-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216545	ESEA	True	0.99936825	Resistant	BinhPhuoc_VietNam
PV0313-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221513	ESEA	True	0.9987817	Sensitive	BinhPhuoc_VietNam
PV0314-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221514	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0315-Cx	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR404180	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0317-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221515	ESEA	True	0.9979794	Sensitive	BinhPhuoc_VietNam
PV0318-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216546	ESEA	True	0.99950767	Resistant	BinhPhuoc_VietNam
PV0319-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221516	ESEA	True	0.999121	Sensitive	BinhPhuoc_VietNam
PV0320-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221517	ESEA	True	0.99822336	Resistant	BinhPhuoc_VietNam
PV0321-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221518	ESEA	True	0.99628776	Undetermined	BinhPhuoc_VietNam
PV0322-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221519	ESEA	True	0.99890655	Resistant	BinhPhuoc_VietNam
PV0324-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221521	ESEA	True	0.9994794	Resistant	BinhPhuoc_VietNam
PV0325-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221522	ESEA	True	0.99800557	Sensitive	BinhPhuoc_VietNam
PV0326-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR221523	ESEA	True	0.9998225	Sensitive	BinhPhuoc_VietNam
PV0328-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216547	ESEA	True	0.9978377	Sensitive	BinhPhuoc_VietNam
PV0329-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216528	ESEA	True	0.9993711	Sensitive	BinhPhuoc_VietNam
PV0330-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216548	ESEA	True	0.99959046	Sensitive	BinhPhuoc_VietNam
PV0331-Cx	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR404181	ESEA	True	1	Sensitive	BinhPhuoc_VietNam
PV0333-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR216549	ESEA	True	0.9943641	Resistant	BinhPhuoc_VietNam
PV0339-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR404259	ESEA	True	0.9711299	Resistant	BinhPhuoc_VietNam
PV0340-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426011	ESEA	True	0.9988451	Resistant	BinhPhuoc_VietNam
PV0343-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426012	ESEA	True	0.99962085	Resistant	BinhPhuoc_VietNam
PV0344-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR404224	ESEA	True	0.9992416	Resistant	BinhPhuoc_VietNam
PV0345-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426013	ESEA	True	0.9998847	Resistant	BinhPhuoc_VietNam
PV0347-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2011	ERR426120	ESEA	True	0.99860674	Sensitive	BinhPhuoc_VietNam
PV0355-C	1052-PF-TRAC-WHITE	BinhPhuoc	VietNam	2012	ERR426029	ESEA	True	0.9993481	Resistant	BinhPhuoc_VietNam
