Individual	distances	assgn_clus	Initial_SiteCountry	Study	Site	Country	Year	ENA	Population	QC_pass	Fws	Artemisinin	SiteCountry
PH0576-C	1.44796913760424	4	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123834	ESEA	True	0.9979668	Resistant	Pursat_Cambodia
PH0582-C	1.91151649113558	4	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR123840	ESEA	True	0.99904674	Sensitive	Pursat_Cambodia
PH0585-C	2.31319989350771	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123843	ESEA	True	0.99826646	Sensitive	PreahVihear_Cambodia
PH0589-C	1.70524704677415	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123847	ESEA	True	0.99850756	Sensitive	PreahVihear_Cambodia
PH0593-C	2.07239931266439	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123851	ESEA	True	0.99745715	Sensitive	PreahVihear_Cambodia
PH0596-C	1.97952568312791	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR114347	ESEA	True	0.99542624	Resistant	PreahVihear_Cambodia
PH0597-C	0.725630831304598	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123854	ESEA	True	0.99742967	Sensitive	PreahVihear_Cambodia
PH0598-C	0.829123180984715	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123855	ESEA	True	0.9906417	Sensitive	PreahVihear_Cambodia
PH0599-C	1.56203720151392	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123856	ESEA	True	0.9986563	Sensitive	PreahVihear_Cambodia
PH0600-C	1.59505961037444	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123857	ESEA	True	0.99874675	Sensitive	PreahVihear_Cambodia
PH0602-C	1.85347992447801	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123859	ESEA	True	0.99910414	Resistant	PreahVihear_Cambodia
PH0604-C	2.28430335652833	1	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR114348	ESEA	True	0.99820083	Sensitive	PreahVihear_Cambodia
PH0610-C	1.53676085745473	4	PreahVihear_Cambodia	1052-PF-TRAC-WHITE	PreahVihear	Cambodia	2011	ERR123865	ESEA	True	0.9988455	Sensitive	PreahVihear_Cambodia
PH0617-C	0.837689334485052	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123871	ESEA	True	0.9998229	Sensitive	Ratanakiri_Cambodia
PH0619-C	1.86477402363857	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123873	ESEA	True	0.9990137	Sensitive	Ratanakiri_Cambodia
PH0621-C	1.03519329715065	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR114344	ESEA	True	0.99818844	Sensitive	Ratanakiri_Cambodia
PH0623-C	1.63370847577094	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123876	ESEA	True	0.9988732	Sensitive	Ratanakiri_Cambodia
PH0624-C	0.973670988975889	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123877	ESEA	True	0.9994843	Sensitive	Ratanakiri_Cambodia
PH0625-C	1.44657773333693	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123878	ESEA	True	0.997294	Sensitive	Ratanakiri_Cambodia
PH0630-C	1.29123874805551	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR114350	ESEA	True	0.9986121	Sensitive	Ratanakiri_Cambodia
PH0631-C	1.18877784238706	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123883	ESEA	True	0.9949459	Sensitive	Ratanakiri_Cambodia
PH0632-C	0.697346347876241	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR114341	ESEA	True	0.9994244	Sensitive	Ratanakiri_Cambodia
PH0633-C	1.088721037302	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123884	ESEA	True	0.99947923	Sensitive	Ratanakiri_Cambodia
PH0636-C	1.58903737905543	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123887	ESEA	True	0.9996273	Sensitive	Ratanakiri_Cambodia
PH0638-C	1.67893260408425	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123888	ESEA	True	0.9982506	Undetermined	Ratanakiri_Cambodia
PH0639-C	1.07963084739461	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123889	ESEA	True	0.99939483	Sensitive	Ratanakiri_Cambodia
PH0640-C	0.328120085187502	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123890	ESEA	True	0.999547	Sensitive	Ratanakiri_Cambodia
PH0644-C	0.576797980936367	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123892	ESEA	True	0.97300386	Sensitive	Ratanakiri_Cambodia
PH0647-C	2.09261596156298	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123895	ESEA	True	0.99948794	Sensitive	Ratanakiri_Cambodia
PH0648-C	1.03892923022145	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123896	ESEA	True	0.96346	Sensitive	Ratanakiri_Cambodia
PH0650-C	1.6881847394242	4	Ratanakiri_Cambodia	1052-PF-TRAC-WHITE	Ratanakiri	Cambodia	2011	ERR123898	ESEA	True	0.9969977	Sensitive	Ratanakiri_Cambodia
PH0678-C	1.38666603497875	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR216649	ESEA	True	0.9989817	Sensitive	Pursat_Cambodia
PH0679-C	1.95723666450736	4	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175474	ESEA	True	0.9979415	Sensitive	Pursat_Cambodia
PH0686-C	1.5303529633265	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175477	ESEA	True	0.9837476	Resistant	Pursat_Cambodia
PH0695-C	1.3663785161997	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175480	ESEA	True	0.99343103	Resistant	Pursat_Cambodia
PH0701-C	1.54299298037108	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR175485	ESEA	True	0.9958424	Resistant	Pursat_Cambodia
PH0702-C	0.793849299637806	6	Pursat_Cambodia	1052-PF-TRAC-WHITE	Pursat	Cambodia	2011	ERR171585	ESEA	True	0.9988703	Resistant	Pursat_Cambodia
